date,med_b,q5_b,q95_b,type,now,delay,weekday
2021-04-28,2.586,1.4349409999999998,3.6935822500000004,mod_b,2021-04-28,0,4
2021-04-29,1.776605,0.60187475,2.9426455,mod_b,2021-04-29,0,5
2021-04-30,1.8935300000000002,0.6379960250000001,3.072632,mod_b,2021-04-30,0,6
2021-05-04,2.470625,1.22767975,3.6603522500000003,mod_b,2021-05-04,0,3
2021-05-05,2.14853,0.8875348000000001,3.297419,mod_b,2021-05-05,0,4
2021-05-06,2.13725,0.791282725,3.3927475000000005,mod_b,2021-05-06,0,5
2021-05-07,2.12654,0.8963392750000001,3.2965902500000004,mod_b,2021-05-07,0,6
2021-05-11,2.2813350000000003,0.9884705,3.5219997500000004,mod_b,2021-05-11,0,3
2021-05-12,2.3657250000000003,1.032256,3.644341,mod_b,2021-05-12,0,4
2021-05-14,2.1967049999999997,0.7750993249999999,3.672653,mod_b,2021-05-14,0,6
2021-05-18,2.283005,0.776459125,3.815453,mod_b,2021-05-18,0,3
2021-05-19,2.1217550000000003,0.5362369,3.6909740000000006,mod_b,2021-05-19,0,4
2021-05-20,2.225035,0.4736963500000001,3.9615420000000006,mod_b,2021-05-20,0,5
2021-05-21,2.15245,0.46038425000000005,3.88962875,mod_b,2021-05-21,0,6
2021-05-25,1.31795,-0.521714125,3.074935,mod_b,2021-05-25,0,3
2021-05-26,0.709111,-1.05789,2.436022000000001,mod_b,2021-05-26,0,4
2021-05-27,1.993875,0.242798725,3.7241630000000003,mod_b,2021-05-27,0,5
2021-06-03,1.209895,-0.24123014999999998,2.7300575,mod_b,2021-06-03,0,5
2021-06-04,0.7728755,-0.6570556999999999,2.18059175,mod_b,2021-06-04,0,6
2021-06-08,1.2010399999999999,0.040346690000000025,2.4004495,mod_b,2021-06-08,0,3
2021-06-09,1.18006,0.084861395,2.3315902500000005,mod_b,2021-06-09,0,4
2021-06-10,2.770335,1.53673275,4.224094000000001,mod_b,2021-06-10,0,5
2021-06-11,2.04031,1.01029425,3.1918085000000005,mod_b,2021-06-11,0,6
2021-06-22,1.17097,0.29714797500000006,2.0818619999999997,mod_b,2021-06-22,0,3
2021-06-23,1.0213800000000002,0.19117742499999998,1.8588340000000003,mod_b,2021-06-23,0,4
2021-06-24,1.748305,0.83444065,2.7895395,mod_b,2021-06-24,0,5
2021-06-29,1.26144,0.55185745,2.0879902500000003,mod_b,2021-06-29,0,3
2021-06-30,1.28238,0.567853175,2.01441225,mod_b,2021-06-30,0,4
2021-07-01,0.40367949999999997,-0.14568925,0.97744,mod_b,2021-07-01,0,5
