date,med_a,q5_a,q95_a,med_b,q5_b,q95_b,med_b_c,q5_b_c,q95_b_c,med_c,q5_c,q95_c,med_d,q5_d,q95_d,med_d_c,q5_d_c,q95_d_c,med_e,q5_e,q95_e,n_true_retro,err_a_7,err_b_7,err_d_7,log_a_7,log_b_7,log_d_7,crps_a_7,crps_b_7,crps_d_7
2021-02-12,32,14,63,50,23,92,52,25,97,38,21,62,32,15,59,26,12,50,27,11.975000000000009,53,29,3.142857142857143,11,3.142857142857143,3.2626571627396643,3.754274182454018,3.164467839705518,2.828144508928571,7.5284795624999985,2.6767310624999996
2021-02-16,30,12,60,46,24,81.02500000000009,54,29,92,37,21,60,32,14,61,27,11,51,27,11,55,22,3.2857142857142856,18.214285714285715,4.142857142857143,3.2968619496619187,4.4457731002814525,3.3266377378936296,3.017698160714285,12.551541017857142,3.399429098214285
2021-02-17,28,11,56.02500000000009,45,23,80,54,29,92,35,20,58,31,14,57,26,12,48,26,10,51.02500000000009,34,4.285714285714286,15.857142857142858,4.857142857142857,3.272544488969492,4.318902254638218,3.27130882371283,3.072579303571428,10.858920107142856,3.3004925357142856
2021-02-18,25,10,51,42,21,72,53,29,88,34,19,55,26,11,51,23,10,43,22,8,43,18,4.285714285714286,15.428571428571429,4.285714285714286,3.202680672918476,4.29753142859822,3.193122592766174,2.8835090625,10.464688937499998,2.928765928571428
2021-02-19,28,12,57,42,22,72,54,29,89,34,19,55,30,14,56,26,12,46,25,11,47,25,3.7142857142857144,15.142857142857142,3.857142857142857,3.1375045448189107,4.353774216157923,3.161669836570804,2.8977847857142853,10.599786767857141,3.107336491071428
2021-02-23,29,12.975000000000009,58,39,22,62,33,18,56,37,21,58,30,13,55,26,12,46,26,12.975000000000009,47,13,5.857142857142857,18.857142857142858,7.142857142857143,3.496330505793295,5.268585446506461,3.5991351520625257,4.767107008928571,13.738825473214284,5.355663973214285
2021-02-24,27,12,52,36,20,59,30,15,50,35,20,56.02500000000009,28,13,50,26,13,44,27,14,46,26,5.142857142857143,15.428571428571429,6.142857142857143,3.308779832513781,4.954241461033144,3.439249108611086,3.896480098214285,11.343936482142857,4.535794446428571
2021-02-25,21,8,41,36,20,62,26,13,45,33,18,53,22,9,43,22,10,37.02500000000009,22,10,39,20,5.142857142857143,11.857142857142858,4.285714285714286,3.3048714525085687,4.223501097270814,3.189049487664377,3.527373982142857,8.179921330357143,3.049560625
2021-02-26,21,9,43,41,21,68,25,12,42,33,18,54,22,10,42,23,11,38,22,11,39,18,4.142857142857143,13,3.7142857142857144,3.131267988667286,4.328975170050912,3.050799539204351,2.927538419642857,9.52038913392857,2.740960589285714
2021-03-02,23,10,47.02500000000009,40,23,64,29,16,47,37,21,57,27,13,48,27,14,45.02500000000009,27,14,47,24,2.142857142857143,18.785714285714285,3.5714285714285716,3.0184150850666573,5.353108608034901,3.085533775173831,2.1795591160714283,14.003189830357142,2.7798619821428567
2021-03-03,25,10,49,39,22,62,30,16,49,37,21,57,30,15,51,29,15,49,30,16,50,20,4.285714285714286,17.714285714285715,6.285714285714286,3.156132708276906,5.4398663984230105,3.3677435335206534,3.0243277321428566,13.250634741071428,4.294203642857142
2021-03-04,22,9,45,36,20,59,30,16,49,37,20.97500000000001,60,27,12,48,29,14,49,30,15,50,19,3,19.285714285714285,4.142857142857143,3.0016021048557566,5.605406348628032,3.1109283705405204,2.393383866071428,14.578346366071427,3.0794696874999996
2021-03-05,21,8,44,37,19,63,29,16,49,39,22,62,26,12,48,28,14,48,29,13,49,15,2.857142857142857,18.285714285714285,4.285714285714286,2.9053659494957675,5.0711989367621575,3.048961709442293,2.2276612857142855,13.488399160714284,2.960490383928571
2021-03-09,26,11,56,47,28,73,32,18,52,39,16,78.02500000000009,30,14,55.02500000000009,34,18,58,34,17,59,20,7.142857142857143,28.857142857142858,11.428571428571429,3.455591862655472,7.520109598454971,4.019195070025521,4.937142526785713,23.067480732142855,7.925467991071428
2021-03-10,17,2,57,39,18,76,31,17,50,36,14,81,20,8,40,25,10,48,24,10,46,21,3.5714285714285716,18.428571428571427,2.5714285714285716,3.109208102206576,4.700746835887524,2.8629944457445298,2.940445026785714,13.058893374999998,2.0800124821428567
2021-03-11,17,7,36,39,15,87,31,17,51,38,15,83,20,8,40,25,11,47.02500000000009,23,10,47,16,2.2142857142857144,14.142857142857142,3.142857142857143,2.8166088484930674,4.113053292279812,2.8566050220207186,2.045321946428571,9.6822248125,2.1844058482142854
2021-03-12,19,8,40,36,13,82,34,18,54,42,17,98,21,9,42,29,13,53,27,12,51,20,2.142857142857143,12.285714285714286,2.4285714285714284,2.80457018121534,3.84269615396715,2.8273021335837227,1.8876703482142854,8.410733562499999,2.0329937767857142
2021-03-16,26,11,57,41,18,77.02500000000009,37,22,57,47,22,95.02500000000009,27,12,54,39,20,64,39,19,65,16,6.285714285714286,23.428571428571427,9.285714285714286,3.281449318790152,5.187238546725191,3.596566289811707,4.116259883928571,16.99987595535714,5.9626900267857135
2021-03-17,20,8,41,40,17,86,35,21,55,47,21,96,23,9,45,31,13,55,31,14,54,19,1.4285714285714286,16.428571428571427,2.2857142857142856,2.8280532964091614,4.204737860889444,2.9092891825957583,1.688289839285714,11.07319419642857,2.1027406696428566
2021-03-18,17,7,35,32,11,76,34,19,54,42,17,93,18,7,38,21,9,42,22,9,42,19,3,9.142857142857142,2.357142857142857,2.941554967851436,3.501391138260288,2.906923457702711,2.086502732142857,5.808096026785713,1.924803232142857
2021-03-19,16,6,33.02500000000009,28,9,71,34,19,56,38,14.975000000000009,94,17,6,35,19,7,37,19,7,37,11,3.5714285714285716,5.714285714285714,3.7142857142857144,2.9505357344928584,3.276724045283832,2.9416055947227155,2.407329339285714,4.235740633928571,2.371639803571428
2021-03-23,24,10,50,25,10,53,33,19,51,70,35,128,27,11,57,26,12,49,24,11,47.02500000000009,14,5.571428571428571,7.857142857142857,7.714285714285714,3.202813649113149,3.444006359840301,3.4316532017049126,3.9522504821428566,5.348925241071427,5.161171892857142
2021-03-24,18,7,36,22,9,47,32,17,52,66,32,126,19,7,39,20,8.975000000000009,39,19,7,37,16,1.8571428571428572,3.7142857142857144,2.7142857142857144,2.754828964148016,2.971824148937605,2.817250842394349,1.771289089285714,2.7337113839285707,2.0102963303571424
2021-03-25,20,8,41,21,9,42,30,16,50,66,27,129,21,8,45.02500000000009,21,9,41,20,8,42,22,3.7142857142857144,4,4.285714285714286,2.912317318404929,2.974533344348495,3.0076781854033863,2.4363599553571422,2.722516160714285,2.8103827946428566
2021-03-26,19,8,36,20,9,38,28,14,47,61,22,135.0250000000001,19,8,38.02500000000009,20,8,38,18,7,37,22,3,2.9285714285714284,3.2857142857142856,2.8234161975162895,2.802179666475856,2.867162394940753,2.064284875,2.0185097946428567,2.193686098214285
2021-03-30,22,10,44,19,9,32,26,12,45,66,22,165,22,9,50.02500000000009,24,10,52,23,10,57,17,2.4285714285714284,1.1428571428571428,2.5714285714285716,2.901490748019565,2.706767289721401,2.9494923477832846,2.1528309553571425,1.4693542321428568,2.2575309107142854
2021-03-31,15,6,29.02500000000009,18,9,31,22,11,39,50,15,146,14,5,27,15,6,30,14,6,27,24,6.285714285714286,4.857142857142857,7.571428571428571,3.4873725108182456,3.17190476216391,3.905317690175152,4.021215946428572,3.1522087410714286,5.135518178571429
2021-04-01,19,8,35,19,9,32,23,11,40,51,18,143.0250000000001,17,7,31,19,8,37,18,8,35,25,3.7142857142857144,4,4.857142857142857,2.9689032028268376,2.922809284140258,3.154893299691983,2.3960818303571427,2.407640625,3.1424720625
2021-04-06,20,9,36,19,9,33,21,10,37,84,33,191.0250000000001,18,8,38,19,7,39,19,7.9750000000000085,41,13,3.7142857142857144,5,4,3.047743847780675,3.138980748516719,3.092013054838188,2.5595931428571426,3.044829392857143,2.643115366071428
2021-04-07,17,7,32.02500000000009,17,8,31,20,9,36,74,28,167,15,6,29,15,5,30,15,5,30,22,4,4.428571428571429,5.285714285714286,3.0164539003880764,3.0539834606889533,3.2766816531559786,2.6063367142857143,2.7273398839285714,3.5394510714285716
2021-04-08,17,7,31,18,8,32,20,9,36,73,29,161,14,5,28,15,6,30,15,6,29,22,4.285714285714286,3.857142857142857,5.714285714285714,3.0583971983484837,2.974639851794488,3.3698492611402697,2.683959776785714,2.444964982142857,3.8270489553571427
2021-04-09,17,7,31,18,8,33,20,9,36,72,30.97500000000001,164,15,5,30,14,6,28,14,5,29,24,3.7142857142857144,3,5.142857142857143,2.91040504621004,2.8316206164551994,3.201054697399707,2.2900837410714283,1.9836775982142856,3.283411026785714
2021-04-13,18,8,31,19,9,34,21,10,36,60,24,134,15,6,33,16,6,33,16,6,32,21,3.5714285714285716,3.142857142857143,5,2.9879688183675666,3.0103614322969676,3.202904901348063,2.5595748214285714,2.481961821428571,3.1054250625
2021-04-14,20,10,34,21,11,37,22,11,38,58,28.97500000000001,110,20,8,38,19,9,37,19,8,38,28,4.142857142857143,4.714285714285714,4.142857142857143,3.122996966620416,3.2558875332609003,3.1402534037351337,2.963602169642857,3.378517732142857,3.009245928571428
2021-04-15,22,11,40,21,10,37,22,11,37,58,28,113,25,12,51,25,12,48.02500000000009,27,11,51,26,3.5714285714285716,3.5,4.714285714285714,3.170154597707881,3.1146007883278117,3.4133212171403504,2.8872943928571426,2.720645214285714,3.788168901785714
2021-04-16,21,10,37,21,11,36,22,11,37,45,21,86,23,10,41,22,11,43,23,10,45,16,4.142857142857143,3.9285714285714284,4.428571428571429,3.1850661871839248,3.145998011379302,3.244203236709855,2.983299571428571,2.948025955357142,3.250784053571428
2021-04-20,23,12,44,22,11,36,22,11,37,59,30,107,26,12,48,25,12,49,27,13,56,26,5.285714285714286,4.857142857142857,5.857142857142857,3.2093367305957234,3.1195814921906115,3.4334340900535367,3.604733616071428,3.199505133928571,4.631391
2021-04-21,19,9,31,19,9,32,20,10,33,49,24,90,20,9,34,19,9,34,20,8,37,24,3.2857142857142856,3.7142857142857144,3.5714285714285716,2.854371078097264,2.8649037254133325,2.9029679014425596,2.351383419642857,2.294624482142857,2.3289532321428568
2021-04-22,18,9,31,19,9,32,19,9,33,43,19,88,17,7,30,17,8,31,17,7,32,17,2.7142857142857144,2.7142857142857144,2.5714285714285716,2.7768827092387856,2.780769898412894,2.870918362206868,2.0580370982142853,2.0114713660714285,2.3320274107142858
2021-04-23,19,9,32,19,10,33,20,9.975000000000009,33,45,19,97,18,8,32,18,8,32,18,8,33,17,3.142857142857143,3.142857142857143,3,2.8041198448686626,2.804834332559133,2.8669104370084977,2.1998501785714284,2.2161384999999996,2.3194684732142856
2021-04-27,20,10,36.02500000000009,20,10,32,22,11,36,40,21,68.02500000000009,21,9.975000000000009,36,22,10,39,23,10,45,23,5,4.857142857142857,5.142857142857143,3.1457422155483172,3.1377704002525504,3.2055986989469294,3.3161487589285708,3.2934246428571425,3.5298713124999996
2021-04-28,19,9,33,20,10,33,21,11,35,41,21,72,19,9,34,20,9,35,21,9,40,21,3.2857142857142856,3.5714285714285716,3.5714285714285716,2.883525372533743,2.939439671033302,2.9552658183052083,2.3927471339285713,2.5826357232142856,2.522304866071428
